dam_nm,obsr_de,rain_qy_mms,inflow_qy_mms,tot_dcwtr_qy_mms,rsvwt_qy_mms,dam_rsvwt_rt_mms,avg_hmd_mms,avg_tmr_mms,avg_wv_mms,snsn_sum_mms,valid_rsvwt_cpcty_qy_mms
충주,20190101,0,2.52E-07,1.21E-06,0.888710226,0.789686552,0.630275229,0.10707804,0.563157895,0.013004484,0.941023952
횡성,20190101,0,2.66E-09,1.87E-08,0.029768471,0.837209302,0.655963303,0.074410163,0.526315789,0.014349776,0.02949865
소양강,20190101,0,6.45E-08,1.73E-07,0.771598507,0.650151668,0.65412844,0.08076225,0.547368421,0.012107623,1
안동,20190101,0,7.99E-09,1.96E-07,0.38479624,0.753286148,0.595412844,0.109800363,0.589473684,0.013901345,0.521815825
임하,20190101,0,0,9.89E-08,0.154850504,0.635995956,0.595412844,0.109800363,0.589473684,0.013901345,0.215777953
성덕,20190101,0,0,7.86E-09,0.008522716,0.746208291,0.612844037,0.101633394,0.605263158,0.013901345,0.003676705
영주,20190101,0,4.42E-09,7.58E-09,2.65E-05,0.002022245,0.580733945,0.112522686,0.763157895,0.018609865,0.075723121
군위,20190101,0,0,1.28E-08,0.01163727,0.584428716,0.52293578,0.138838475,0.673684211,0.011659193,0.011805836
김천부항,20190101,0,1.55E-09,1.93E-08,0.016553855,0.745197169,0.629357798,0.117059891,0.710526316,0.007399103,0.013134125
보현산,20190101,0,0,3.74E-09,0.003947502,0.436804853,0.520183486,0.136116152,0.668421053,0.021076233,0
합천,20190101,0,1.03E-08,1.86E-07,0.244724043,0.757330637,0.565137615,0.127041742,0.536842105,0.019730942,0.288036895
남강,20190101,0,1.24E-07,1.65E-07,0.072833074,0.575328615,0.533944954,0.132486388,0.526315789,0.015246637,0.149735405
밀양,20190101,0,9.25E-11,1.72E-08,0.023894803,0.793731041,0.517431193,0.135208711,0.552631579,0.023542601,0.027585914
용담,20190101,0,1.46E-08,1.52E-07,0.275205051,0.825075834,0.694495413,0.10707804,0.536842105,0.007399103,0.347820543
대청,20190101,0,1.04E-07,3.36E-07,0.46018857,0.75429727,0.643119266,0.120689655,0.552631579,0.007623318,0.410239517
보령,20190101,0.000988254,6.19E-09,3.54E-08,0.032433242,0.678463094,0.727522936,0.135208711,0.536842105,0.008744395,0.048254096
부안,20190101,0,0,8.45E-09,0.014343833,0.696663296,0.711009174,0.141560799,0.547368421,0.003811659,0.009414915
섬진강,20190101,0,4.73E-09,3.40E-08,0.132197882,0.693629929,0.743119266,0.118874773,0.547368421,0.011210762,0.218434531
주암(본),20190101,0,0,1.20E-07,0.134113703,0.716885743,0.730275229,0.141560799,0.668421053,0.015022422,0.177523218
주암(조),20190101,0,3.76E-08,7.87E-08,0.08198681,0.80182002,0.730275229,0.141560799,0.668421053,0.015022422,0.102076382
장흥,20190101,0,2.08E-09,2.32E-08,0.040877339,0.522750253,0.681651376,0.155172414,0.626315789,0.010089686,0.081355068
충주,20190102,0,1.82E-07,1.21E-06,0.885885321,0.787664307,0.611009174,0.087114338,0.526315789,0.02264574,0.941023952
횡성,20190102,0,2.63E-09,1.86E-08,0.029724196,0.83619818,0.639449541,0.072595281,0.510526316,0.015022422,0.02949865
소양강,20190102,0,6.48E-08,1.73E-07,0.771387891,0.650151668,0.639449541,0.076225045,0.521052632,0.012780269,1
안동,20190102,0,7.77E-09,1.96E-07,0.384230183,0.752275025,0.482568807,0.118874773,0.578947368,0.016591928,0.521815825
임하,20190102,0,1.03E-08,9.71E-08,0.154601406,0.634984833,0.482568807,0.118874773,0.578947368,0.016591928,0.215777953
성덕,20190102,0,5.70E-10,5.76E-09,0.008507819,0.745197169,0.543119266,0.106170599,0.584210526,0.016591928,0.003676705
영주,20190102,0,4.16E-09,6.99E-09,0.000119294,0.002022245,0.426605505,0.112522686,0.784210526,0.023318386,0.075723121
군위,20190102,0,2.00E-09,1.13E-08,0.011612029,0.582406471,0.444954128,0.140653358,0.615789474,0.015695067,0.011805836
김천부항,20190102,0,2.06E-09,1.46E-08,0.016519097,0.743174924,0.540366972,0.11615245,0.715789474,0.01367713,0.013134125
보현산,20190102,0,4.98E-10,3.03E-09,0.003940882,0.435793731,0.432110092,0.137023593,0.647368421,0.026233184,0
합천,20190102,0,2.79E-08,1.86E-07,0.244288742,0.755308392,0.560550459,0.130671506,0.531578947,0.019282511,0.288036895
남강,20190102,0,1.01E-07,1.65E-07,0.072833074,0.575328615,0.533944954,0.138838475,0.531578947,0.016367713,0.149735405
밀양,20190102,0,2.06E-10,1.73E-08,0.023842252,0.791708797,0.525688073,0.127949183,0.526315789,0.025784753,0.027585914
용담,20190102,0.000403729,1.47E-08,1.52E-07,0.27480699,0.824064712,0.69266055,0.098911071,0.521052632,0.014573991,0.347820543
대청,20190102,0,1.57E-07,3.38E-07,0.459930782,0.75429727,0.551376147,0.117059891,0.547368421,0.014798206,0.410239517
보령,20190102,0,6.00E-09,3.50E-08,0.032355451,0.676440849,0.705504587,0.123411978,0.531578947,0.025560538,0.048254096
부안,20190102,0,3.87E-09,9.52E-09,0.014333902,0.696663296,0.70733945,0.136116152,0.531578947,0.005829596,0.009414915
섬진강,20190102,0,2.13E-08,3.45E-08,0.132197882,0.693629929,0.769724771,0.107985481,0.542105263,0.020403587,0.218434531
주암(본),20190102,0,3.62E-08,1.20E-07,0.133924604,0.715874621,0.722018349,0.136116152,0.657894737,0.026233184,0.177523218
주암(조),20190102,0,3.76E-08,7.88E-08,0.081931777,0.800808898,0.722018349,0.136116152,0.657894737,0.026233184,0.102076382
장흥,20190102,0,1.64E-09,2.25E-08,0.040816099,0.522750253,0.65412844,0.156079855,0.615789474,0.015695067,0.081355068
충주,20190103,0,1.13E-07,1.21E-06,0.88271325,0.78463094,0.582568807,0.088021779,0.515789474,0.02264574,0.941023952
횡성,20190103,0,2.97E-09,1.91E-08,0.029679507,0.834175935,0.619266055,0.077132486,0.5,0.015246637,0.02949865
소양강,20190103,0,2.28E-08,1.73E-07,0.770966658,0.650151668,0.630275229,0.08076225,0.515789474,0.0132287,1
안동,20190103,0,7.73E-09,1.95E-07,0.383664126,0.751263903,0.452293578,0.117967332,0.526315789,0.016591928,0.521815825
임하,20190103,0,1.10E-08,9.83E-08,0.154352721,0.633973711,0.452293578,0.117967332,0.526315789,0.016591928,0.215777953
성덕,20190103,0,0,4.16E-09,0.008492923,0.744186047,0.510091743,0.097096189,0.531578947,0.015695067,0.003676705
영주,20190103,0,3.94E-09,6.52E-09,0.000118756,0.002022245,0.423853211,0.111615245,0.631578947,0.022197309,0.075723121
군위,20190103,0,1.32E-09,1.02E-08,0.011587202,0.581395349,0.364220183,0.145190563,0.589473684,0.015919283,0.011805836
김천부항,20190103,0,3.90E-09,1.19E-08,0.016501718,0.743174924,0.467889908,0.114337568,0.626315789,0.015919283,0.013134125
보현산,20190103,0,2.42E-10,2.61E-09,0.003933847,0.434782609,0.381651376,0.136116152,0.584210526,0.027802691,0
합천,20190103,0,2.80E-08,1.86E-07,0.243853441,0.75429727,0.576146789,0.124319419,0.521052632,0.019955157,0.288036895
남강,20190103,0,1.02E-07,1.65E-07,0.072833074,0.575328615,0.544036697,0.128856624,0.5,0.017488789,0.149735405
밀양,20190103,0,8.54E-11,1.71E-08,0.023789702,0.789686552,0.459633028,0.129764065,0.521052632,0.026233184,0.027585914
용담,20190103,0,1.49E-08,1.53E-07,0.274409344,0.823053589,0.62293578,0.097096189,0.505263158,0.014798206,0.347820543
대청,20190103,0,1.06E-07,3.39E-07,0.459414793,0.753286148,0.50733945,0.122504537,0.521052632,0.015470852,0.410239517
보령,20190103,0,7.56E-09,3.75E-08,0.032277245,0.674418605,0.671559633,0.127041742,0.526315789,0.026233184,0.048254096
부안,20190103,0,0,9.28E-09,0.014303696,0.694641052,0.755045872,0.124319419,0.510526316,0.010538117,0.009414915
섬진강,20190103,0,5.13E-09,3.47E-08,0.13211678,0.692618807,0.67706422,0.100725953,0.515789474,0.02690583,0.218434531
주암(본),20190103,0,0,1.19E-07,0.133547646,0.713852376,0.605504587,0.137931034,0.610526316,0.02735426,0.177523218
주암(조),20190103,0,3.17E-08,7.81E-08,0.081849434,0.799797776,0.605504587,0.137931034,0.610526316,0.02735426,0.102076382
장흥,20190103,0,2.04E-09,2.31E-08,0.040755272,0.52173913,0.603669725,0.150635209,0.589473684,0.028699552,0.081355068
충주,20190104,0,1.84E-07,1.21E-06,0.879899517,0.781597573,0.611926606,0.10707804,0.505263158,0.015022422,0.941023952
횡성,20190104,0,2.85E-09,1.89E-08,0.029635646,0.833164813,0.63853211,0.103448276,0.510526316,0.0132287,0.02949865
소양강,20190104,0,2.49E-08,1.77E-07,0.770545426,0.649140546,0.676146789,0.101633394,0.526315789,0.010089686,1
