dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
충주,20190101,0,3056918.4,9040636.8,2147.765,78.1,59.7,-4.2,1.7,5.8,1789
횡성,20190101,0,32227.2,139449.6,71.945,82.8,62.5,-7.8,1,6.4,73.4
소양강,20190101,0,783043.2,1292457.6,1864.739,64.3,62.3,-7.1,1.4,5.4,1900
안동,20190101,0,96940.8,1466899.2,929.947,74.5,55.9,-3.9,2.2,6.2,1000
임하,20190101,0,0,739152,374.233,62.9,55.9,-3.9,2.2,6.2,424
성덕,20190101,0,0,58752,20.6,73.8,57.8,-4.8,2.5,6.2,24.8
영주,20190101,0,53654.4,56678.4,0.067,0.2,54.3,-3.6,5.5,8.3,160.4
군위,20190101,0,0,95990.4,28.127,57.8,48,-0.7,3.8,5.2,40.1
김천부항,20190101,0,18835.2,144547.2,40.009,73.7,59.6,-3.1,4.5,3.3,42.6
보현산,20190101,0,0,27993.6,9.543,43.2,47.7,-1,3.7,9.4,17.88
합천,20190101,0,124502.4,1389139.2,591.432,74.9,52.6,-2,1.2,8.8,560
남강,20190101,0,1505779.2,1229990.4,176.02,56.9,49.2,-1.4,1,6.8,299.7
밀양,20190101,0,1123.2,128476.8,57.75,78.5,47.4,-1.1,1.5,10.5,69.8
용담,20190101,0,177724.8,1139616,665.096,81.6,66.7,-4.2,1.2,3.3,672.52
대청,20190101,0,1260921.6,2508451.2,1112.149,74.6,61.1,-2.7,1.5,3.4,790
보령,20190101,0.3307,75081.6,264556.8,78.385,67.1,70.3,-1.1,1.2,3.9,108.7
부안,20190101,0,0,63158.4,34.668,68.9,68.5,-0.4,1.4,1.7,35.6
섬진강,20190101,0,57369.6,254275.2,319.488,68.6,72,-2.9,1.4,5,429
주암(본),20190101,0,0,893376,324.118,70.9,70.6,-0.4,3.7,6.7,352
주암(조),20190101,0,455760,588643.2,198.142,79.3,70.6,-0.4,3.7,6.7,210
장흥,20190101,0,25228.8,173232,98.792,51.7,65.3,1.1,2.9,4.5,171
