,dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
0,군위,20210501,4.7634,1269043200.0,5934643200.0,22.675,46.6,77.3,12.1,3.9,2.8,40.1
1,군위,20210502,4.0,1269043200.0,5927178240.000001,22.621,46.5,68.0,13.6,3.2,9.2,40.1
2,군위,20210503,0.0,1269043200.0,5919713280.0,22.567,46.3,64.1,16.5,1.8,11.7,40.1
3,군위,20210504,10.9464,2814289920.0,5912248320.0,22.531,46.3,85.0,17.0,1.6,0.2,40.1
4,군위,20210505,3.0,1269043200.0,5912248320.0,22.478,46.2,53.6,18.5,4.1,12.2,40.1
5,군위,20210506,0.0,2806824960.0,5897318400.0,22.442,46.1,52.1,16.9,1.3,10.4,40.1
6,군위,20210507,4.2903,1254113280.0,5889853440.000001,22.388,46.0,43.5,18.1,2.4,5.8,40.1
7,군위,20210508,0.0,0.0,5889853440.000001,22.317,45.8,36.9,18.1,2.9,11.8,40.1
8,군위,20210509,0.0,1261578240.0,5882388480.0,22.263,45.7,30.3,19.0,3.9,13.0,40.1
9,군위,20210510,16.2365,2657525760.0,5733089280.0,22.228,45.6,66.5,13.8,1.3,0.5,40.1
10,군위,20210511,4.0,6001827840.000001,4464046080.0,22.245,45.7,69.4,15.1,3.1,0.3,40.1
11,군위,20210512,0.0,3747409920.0000005,3747409920.0000005,22.245,45.7,58.6,17.3,4.3,10.4,40.1
12,군위,20210513,0.0,2075258880.0,3613040640.0,22.228,45.6,53.1,20.4,2.2,12.8,40.1
13,군위,20210514,0.0,1246648320.0,5859993600.0,22.174,45.5,59.3,22.0,2.4,10.0,40.1
14,군위,20210515,8.8171,2806824960.0,5882388480.0,22.139,45.5,85.6,19.9,1.7,6.0,40.1
15,군위,20210516,21.8707,7352985600.0,10421084160.0,22.103,45.4,92.9,20.1,2.1,5.0,40.1
16,군위,20210517,9.2902,19625379840.0,10406154240.0,22.21,45.6,93.4,14.4,3.6,6.0,40.1
17,군위,20210518,1.0,24276049920.0,10413619200.0,22.37,45.9,81.0,17.7,1.3,5.1,40.1
18,군위,20210519,0.0,13504112640.0,10413619200.0,22.406,46.0,57.4,22.5,1.5,9.3,40.1
19,군위,20210520,21.5271,19677634560.0,10398689280.0,22.513,46.2,85.1,16.3,2.6,5.0,40.1
20,군위,20210521,3.7634,38392289280.0,10436014080.0,22.837,46.9,69.6,17.6,2.7,1.8,40.1
21,군위,20210522,0.0,22954752000.0,10465873920.0,22.982,47.2,57.6,21.0,2.8,12.8,40.1
22,군위,20210523,0.0,12011120640.0,10450944000.0,23.0,47.2,52.5,23.6,1.5,10.0,40.1
23,군위,20210524,0.0,10421084160.0,10421084160.0,23.0,47.2,49.8,22.3,2.4,5.4,40.1
24,군위,20210525,2.0,4157982720.0000005,10406154240.0,22.927,47.1,43.5,18.0,3.1,8.2,40.1
25,군위,20210526,0.0,2590341120.0,10391224320.0,22.837,46.9,44.3,18.0,1.3,1.8,40.1
26,군위,20210527,0.0,2642595840.0,10428549120.0,22.747,46.7,55.9,18.9,2.5,5.3,40.1
27,군위,20210528,12.2366,4210237440.0,10428549120.0,22.675,46.6,71.6,16.7,1.8,9.9,40.1
28,군위,20210529,0.0,4202772479.9999995,10413619200.0,22.603,46.4,49.4,20.4,2.8,11.1,40.1
29,군위,20210530,0.0,1097349120.0,10391224320.0,22.496,46.2,56.5,20.6,1.7,11.5,40.1
30,군위,20210531,5.0001,2642595840.0,10368829440.0,22.406,46.0,67.1,20.7,2.2,6.6,40.1
31,군위,20210701,0.0,74649600.0,10159810560.0,19.299,39.6,57.4,25.1,2.9,11.3,40.1
32,군위,20210702,0.0,67184640.0,10122485760.0,19.183,39.4,69.0,24.0,3.8,7.9,40.1
33,군위,20210703,24.6561,4374466560.0,10107555840.0,19.116,39.3,78.8,22.7,3.9,0.4,40.1
34,군위,20210704,7.9464,11540828160.0,10107555840.0,19.133,39.3,64.4,27.8,2.9,8.3,40.1
35,군위,20210705,33.0537,5800273920.0,10092625920.0,19.083,39.2,74.3,23.8,1.7,0.1,40.1
36,군위,20210706,23.5805,83898685440.0,10167275520.0,19.936,40.9,90.3,22.6,1.2,4.1,40.1
37,군위,20210707,51.4948,217558794240.0,10361364480.0,22.335,45.9,95.1,24.1,0.8,3.1,40.1
38,군위,20210708,44.2366,301203671040.0,10816727040.0,25.696,52.8,80.1,24.9,2.0,1.8,40.1
39,군위,20210709,21.7098,129629030400.0,11055605760.0,27.068,55.6,84.0,24.7,2.0,4.7,40.1
40,군위,20210710,29.8387,86907064320.0,11070535680.0,27.946,57.4,76.8,25.6,1.4,6.7,40.1
41,군위,20210711,3.3657,107017666559.99998,10921236480.0,29.058,59.7,74.5,25.7,1.6,8.4,40.1
42,군위,20210712,0.0,48074342400.0,10988421120.0,29.487,60.6,70.6,27.3,1.2,7.5,40.1
43,군위,20210713,0.0,19573125120.0,10712217600.0,29.59,60.8,64.8,28.7,1.1,8.2,40.1
44,군위,20210714,0.0,12317184000.0,10540523520.0,29.61,60.8,60.5,29.9,1.1,8.6,40.1
45,군위,20210715,1.5269,8748933120.0,10525593600.0,29.59,60.8,70.9,27.5,1.8,6.8,40.1
46,군위,20210716,0.0,3418951679.9999995,10510663680.0,29.508,60.6,67.9,27.1,2.6,9.9,40.1
47,군위,20210717,3.9999,5188147200.0,10503198720.0,29.446,60.5,65.5,26.7,2.8,6.8,40.1
48,군위,20210718,0.0,3418951679.9999995,10495733760.0,29.364,60.3,68.0,26.7,2.1,6.1,40.1
49,군위,20210719,0.0,933120000.0,9764167680.0,29.262,60.1,69.0,27.2,1.3,2.8,40.1
50,군위,20210720,0.0,1470597120.0,10294179840.0,29.16,59.9,61.5,28.8,2.0,9.6,40.1
51,군위,20210721,0.0,1403412480.0,10212065280.0,29.058,59.7,64.0,27.5,2.9,8.5,40.1
52,군위,20210722,0.0,1463132160.0000002,10256855040.0,28.956,59.5,62.4,28.0,3.2,8.9,40.1
53,군위,20210723,0.0,0.0,10376294400.0,28.834,59.2,65.9,27.8,2.6,8.0,40.1
