dam_nm,year,month,pH,TOC,SS,DO,TP,Chl-a,tot_coli,fec_coli,grade
군위,2019,1,6.8,4.1,1.1,10.8,0.012,2.1,5.0,0.0,III
군위,2019,2,7.6,4.0,1.0,12.1,0.0105,3.4,1.0,0.0,II
군위,2019,3,7.3,3.9,1.7,13.5,0.0075,1.5,2.0,1.0,II
군위,2019,4,7.0,3.7,2.3,12.1,0.0125,4.6,88.0,2.0,II
군위,2019,5,7.1,3.5,0.8,9.0,0.009,3.4,5.0,1.0,II
군위,2019,6,7.3,3.6,0.7,8.0,0.012,3.7,7.0,1.0,II
군위,2019,7,7.9,3.7,0.6,5.2,0.007,3.4,44.0,25.0,II
군위,2019,8,8.1,4.0,1.7,5.5,0.015,4.0,16.0,5.0,II
군위,2019,9,8.4,3.8,1.9,5.0,0.012,5.7,36.0,8.0,II
군위,2019,10,7.1,4.7,5.4,5.5,0.018,4.4,1014.0,207.0,III
군위,2019,11,7.0,4.3,5.9,6.3,0.016,12.0,25.0,6.0,III
군위,2019,12,7.0,4.0,2.0,7.6,0.012,3.7,49.0,5.0,II
군위,2020,1,7.2,3.6,1.3,10.5,0.0095,2.1,25.0,8.0,II
군위,2020,2,6.9,4.2,1.3,11.4,0.011,2.1,22.0,3.0,III
군위,2020,3,7.2,3.6,2.3,12.9,0.009,5.2,6.0,1.0,II
군위,2020,4,7.3,3.9,1.0,9.5,0.0135,2.6,6.0,2.0,II
군위,2020,5,7.1,3.4,1.1,9.8,0.012,1.9,43.0,13.0,II
군위,2020,6,7.2,3.4,1.3,8.9,0.011,2.7,15.0,6.0,II
군위,2020,7,7.0,3.7,2.8,6.8,0.007,4.6,51.0,27.0,II
군위,2020,8,8.3,4.6,8.9,7.9,0.0325,13.1,78.0,46.0,III
군위,2020,9,7.5,4.8,13.5,6.3,0.0355,6.6,592.0,446.0,III
군위,2020,10,7.2,4.7,2.9,6.2,0.023,6.1,208.0,174.0,III
군위,2020,11,6.8,4.4,3.8,8.0,0.0145,9.6,158.0,97.0,III
군위,2020,12,7.0,4.7,2.1,8.7,0.0155,4.9,104.0,79.0,III
김천부항,2019,1,,,,,,,,,Vl
김천부항,2019,2,,,,,,,,,Vl
김천부항,2019,3,,,,,,,,,Vl
김천부항,2019,4,,,,,,,,,Vl
김천부항,2019,5,,,,,,,,,Vl
김천부항,2019,6,,,,,,,,,Vl
김천부항,2019,7,6.3,3.1,3.6,10.1,0.011,43.0,152.0,2.0,V
김천부항,2019,8,6.8,3.0,1.5,8.5,0.023,7.7,25.0,5.0,II
김천부항,2019,9,7.6,3.4,3.5,8.8,0.027,25.8,153.0,26.0,IV
김천부항,2019,10,7.6,3.1,3.6,7.8,0.029,15.1,128.0,26.0,III
김천부항,2019,11,7.9,2.8,1.6,7.4,0.016,2.9,197.0,35.0,Ib
김천부항,2019,12,7.4,2.4,1.7,8.2,0.014,4.3,10.0,4.0,Ib
김천부항,2020,1,7.6,2.3,1.3,10.8,0.014,3.8,45.0,1.0,Ib
김천부항,2020,2,7.2,2.6,1.1,10.2,0.014,1.9,12.0,3.0,Ib
김천부항,2020,3,7.4,2.2,1.9,10.8,0.012,3.8,19.0,2.0,Ib
김천부항,2020,4,7.6,2.5,1.3,7.9,0.014,2.2,34.0,1.0,Ib
김천부항,2020,5,7.4,2.3,1.8,9.6,0.011,4.8,703.0,19.0,II
김천부항,2020,6,7.3,2.3,1.5,9.0,0.011,2.4,101.0,5.0,Ib
김천부항,2020,7,7.7,3.2,6.4,9.2,0.022,19.2,1087.0,273.0,III
김천부항,2020,8,7.2,3.0,6.4,7.7,0.038,9.2,4563.0,453.0,III
김천부항,2020,9,7.6,3.3,4.9,5.4,0.039,17.1,113.0,78.0,III
김천부항,2020,10,8.8,3.0,1.2,5.8,0.018,3.1,45.0,28.0,lb
김천부항,2020,11,7.9,2.5,9.2,7.2,0.01,16.7,95.0,26.0,III
김천부항,2020,12,7.5,3.3,4.9,7.5,0.015,12.1,373.0,277.0,III
남강,2019,1,7.7,2.0,1.2,11.6,0.0157,5.3,11.0,4.0,Ib
남강,2019,2,7.8,1.8,0.4,11.9,0.0127,4.4,17.0,2.0,Ib
남강,2019,3,8.1,1.8,1.9,11.2,0.013,5.4,84.0,1.0,Ib
남강,2019,4,8.0,1.8,1.7,9.5,0.009,2.0,117.0,1.0,Ib
남강,2019,5,7.7,1.9,1.9,7.9,0.0103,2.6,37.0,12.0,Ib
남강,2019,6,8.3,2.2,2.6,5.9,0.0103,3.3,659.0,7.0,II
남강,2019,7,8.0,2.6,4.2,6.5,0.0173,2.1,2003.0,34.0,III
남강,2019,8,7.6,2.2,3.0,4.0,0.0267,0.7,633.0,1.0,IV
남강,2019,9,8.2,3.1,7.4,7.6,0.0543,3.0,1922.0,5.0,IV
남강,2019,10,7.8,2.3,3.7,8.3,0.0447,0.9,433.0,3.0,III
남강,2019,11,7.6,1.9,1.8,7.3,0.0117,0.8,38.0,7.0,Ib
남강,2019,12,7.3,1.6,1.5,8.3,0.013,1.2,9.0,1.0,Ib
남강,2020,1,7.5,1.9,1.0,7.6,0.004,0.9,81.0,2.0,Ib
남강,2020,2,7.6,1.7,2.3,10.4,0.01,0.9,3.0,1.0,Ib
남강,2020,3,7.2,1.3,0.8,11.5,0.011,1.1,15.0,1.0,Ib
남강,2020,4,7.8,1.8,0.7,10.9,0.005,1.3,25.0,3.0,Ia
남강,2020,5,7.8,1.6,0.7,8.6,0.01,4.4,15.0,3.0,Ia
남강,2020,6,8.0,2.3,1.6,6.5,0.0153,3.0,20.0,5.0,Ib
남강,2020,7,7.8,3.3,2.1,6.9,0.0293,3.4,23.0,1.0,II
남강,2020,8,6.9,2.6,36.5,8.1,0.089,1.5,15.0,3.0,V
남강,2020,9,7.0,2.4,3.8,8.8,0.057,4.0,15494.0,6159.0,IV
남강,2020,10,7.8,2.2,1.6,9.0,0.005,4.6,176.0,0.0,Ib
남강,2020,11,7.7,2.7,1.1,8.9,0.0073,1.6,4.0,2.0,Ib
남강,2020,12,7.6,3.0,0.9,10.8,0.0113,4.6,2.0,1.0,Ib
대청,2019,1,7.3,2.3,1.2,15.5,0.02,2.4,3.0,1.0,Ib
대청,2019,2,7.1,2.5,1.5,13.1,0.0228,3.1,2.0,1.0,II
대청,2019,3,6.2,2.0,1.7,13.3,0.0182,2.5,2.0,1.0,IV
대청,2019,4,6.9,2.3,1.5,12.6,0.0243,2.9,2.0,1.0,II
대청,2019,5,6.9,2.2,1.7,10.9,0.0187,3.3,2.0,1.0,Ib
대청,2019,6,7.4,2.3,1.6,8.6,0.0137,3.3,7.0,0.0,Ib
대청,2019,7,7.5,2.4,1.7,6.5,0.0165,3.6,42.0,2.0,Ib
대청,2019,8,7.2,2.5,1.9,5.6,0.0217,3.7,73.0,6.0,II
대청,2019,9,7.3,2.5,1.8,5.4,0.0222,3.8,82.0,14.0,II
대청,2019,10,7.3,2.6,2.4,6.6,0.0282,6.7,86.0,24.0,II
대청,2019,11,7.8,2.5,1.6,8.4,0.016,3.9,31.0,3.0,Ib
대청,2019,12,7.4,2.2,1.3,8.8,0.0303,2.4,20.0,2.0,III
대청,2020,1,7.4,2.4,1.6,10.1,0.0137,2.2,36.0,7.0,Ib
대청,2020,2,7.4,2.3,1.5,11.6,0.0137,1.9,12.0,1.0,Ib
대청,2020,3,7.5,2.2,1.4,12.0,0.0168,2.0,24.0,1.0,Ib
대청,2020,4,7.8,2.0,1.4,11.0,0.0137,1.9,30.0,1.0,Ib
