,dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,valid_rsvwt_cpcty_qy,region_nm,avg_temp,avg_wind(m/s),avg_hmdty(%)
0,충주,2019-01-01,0.0,3056918.4,9040636.8,2147.765,78.1,1789,충주,-4.2,1.7,60.3
1,충주,2019-01-02,0.0,2209852.8000000003,9036748.8,2140.938,77.9,1789,충주,-6.6,1.1,57.9
2,충주,2019-01-03,0.0,1373932.8,9039427.200000001,2133.272,77.6,1789,충주,-6.5,0.8,54.9
3,충주,2019-01-04,0.0,2237846.4,9038476.799999999,2126.472,77.3,1789,충주,-4.1,0.6,58.3
4,충주,2019-01-05,0.0,2248300.8,9036576.0,2119.683,77.1,1789,충주,-2.8,1.1,52.1
5,충주,2019-01-06,0.0,2260569.6,9036489.6,2112.907,76.8,1789,충주,-4.9,0.9,51.8
6,충주,2019-01-07,0.0,584150.4,9036835.200000001,2104.455,76.5,1789,충주,-4.4,1.0,62.8
7,충주,2019-01-08,0.0,2290636.8,9038995.2,2097.706,76.3,1789,충주,-4.1,2.1,50.9
8,충주,2019-01-09,0.0,2302560.0,9038649.6,2090.97,76.0,1789,충주,-6.7,0.9,48.3
9,충주,2019-01-10,0.0,1473724.7999999998,9037180.799999999,2083.407,75.8,1789,충주,-2.4,1.1,56.4
10,충주,2019-01-11,0.0,3164832.0,9036835.200000001,2077.535,75.6,1789,충주,0.8,0.9,63.3
11,충주,2019-01-12,0.4283,1498262.4000000001,9034329.6,2069.999,75.3,1789,충주,1.8,0.8,61.8
12,충주,2019-01-13,0.0,2349475.2,9035280.0,2063.313,75.0,1789,충주,-1.6,0.8,70.9
13,충주,2019-01-14,0.0,2364422.4,9038044.8,2056.64,74.8,1789,충주,-2.7,0.7,77.3
14,충주,2019-01-15,0.0,1544659.2,9037958.4,2049.146,74.5,1789,충주,-1.4,2.4,65.9
15,충주,2019-01-16,0.0,715824.0,9023702.4,2040.838,74.2,1789,충주,-5.8,1.6,51.0
16,충주,2019-01-17,0.0,1577836.8,9038822.4,2033.377,73.9,1789,충주,-1.4,1.7,50.8
17,충주,2019-01-18,0.0,1594080.0,9039772.799999999,2025.932,73.7,1789,충주,-2.3,1.0,57.3
18,충주,2019-01-19,0.0,1604188.8,9034588.799999999,2018.501,73.4,1789,충주,0.1,0.8,63.3
